skiier_id,age_class,start_group,smagan,mangsbodarna,risberg,evertsberg,oxberg,hokberg,eldris,mora
1281,19-20,3,3022,5974,8378,11479,14972,17346,19538,21606
191,55,8,4940,8949,12356,16506,21133,24390,27408,29978
2730,50,5,4097,7576,10359,13861,17709,20464,23216,25420
1330,35,8,5028,9063,12294,16333,21132,24460,27531,30280
9396,45,5,3797,7412,10279,14234,19050,22511,25705,28218
10994,50,7,5170,9425,13006,17167,21456,24540,27796,30514
9613,21,5,3349,6667,9476,13098,17084,19844,22400,24600
6374,21,6,5092,8806,11831,15680,20027,22894,25954,28252
8357,21,4,3329,6229,8711,11777,15066,17527,19935,21885
1873,40,10,6926,11887,16646,22296,28002,32186,36223,40072
13439,60,7,5628,9711,13051,17225,21865,24758,27874,30581
8901,21,6,4202,8124,11462,15625,20318,23818,27437,30359
6979,21,1,2129,4458,6388,8886,11492,13254,15158,16593
7458,21,9,6006,10792,14970,20435,25974,30013,33931,37190
7234,40,6,3909,7656,10933,15239,20061,23507,26892,29585
3795,35,10,6200,11843,16406,21982,27862,31509,35594,39075
11268,50,10,7014,11882,16033,21116,25559,28617,32097,34841
4217,45,3,2989,5776,7960,10832,13766,15659,17848,19665
13232,21,10,6535,11432,16051,21643,27484,31412,35562,39037
3603,21,10,7773,13480,19126,24585,29990,33717,38063,41518
7518,45,6,4053,7516,10150,13509,16981,19547,22050,24147
13450,35,5,3575,6773,9561,12764,16733,19213,21817,23913
2115,40,1,2149,4403,6280,8541,10979,12560,14393,15866
453,40,10,6954,12470,17890,24044,30207,34187,38910,42670
1829,40,3,2949,5645,7954,10873,13840,15901,18014,19643
4073,45,7,4202,7929,10885,14598,18652,21437,24358,26776
8581,65,5,4487,8820,13295,18294,24058,28303,32535,35729
1020,21,10,6645,11406,15728,21333,27279,31043,35343,38529
730,45,7,5523,9765,13582,18237,23264,26943,30304,33243
12120,45,2,2517,5117,7269,9989,12770,14699,16750,18506
5681,21,4,3613,7101,9950,13673,17563,20395,23168,25393
6120,50,4,3384,6577,9310,12707,16647,19372,21996,24394
6642,40,8,5273,9407,13168,17805,23098,26462,30017,32945
1386,21,6,3887,7278,9984,13465,17109,19978,22503,24568
12731,45,10,7250,12613,17296,22780,28424,32355,36542,40111
224,65,8,5882,10575,14645,19636,25430,29069,32535,35562
3753,21,10,6871,11845,17094,22404,27800,31238,34877,38286
5130,35,4,3973,7507,10236,13751,17689,20628,23470,25538
1377,45,6,4505,8026,10795,14458,18405,21519,24204,26516
8641,35,2,2554,5090,7145,9573,12213,13727,15581,17037
1778,55,5,4793,8508,11513,15415,19809,22716,25552,28093
13304,21,1,2185,4564,6615,9202,11829,13513,15429,16880
9950,45,8,4555,8607,11944,16047,20889,23915,26773,29164
8772,40,9,5917,10494,14608,19508,24421,28003,31541,34537
6022,50,10,7015,12990,18465,24635,30514,34243,38876,42425
8328,40,6,4191,7696,10805,14669,19099,22123,25200,27432
6129,35,2,2382,4933,7025,9652,12392,14323,16411,18014
3721,35,9,6279,10999,14989,20095,25254,29088,32426,35240
434,45,5,3522,6655,9275,12563,15952,18381,21019,23184
5491,21,1,2192,4615,6586,8921,11275,12815,14523,16138
10089,45,5,3458,6731,9441,12786,16392,18774,21244,23567
422,60,10,5917,10967,15987,21825,27839,31783,35739,39218
3336,35,1,2161,4484,6330,8693,11066,12894,14668,16143
3800,40,10,6698,10875,14528,19454,24760,28085,31580,34706
5424,40,6,4183,7841,10903,14786,19056,21970,25006,27421
5426,35,3,3250,6092,8370,11243,14271,16351,18663,20590
11987,45,4,3199,6112,8457,11506,14654,16746,18904,20796
13513,40,6,3684,7163,9864,13170,16847,19343,22068,24574
3001,45,6,4940,10001,14589,20349,25837,29640,32818,35648
5998,21,4,3549,6569,9018,12095,15451,17813,20083,22260
2937,21,8,5234,9389,13089,17505,22427,25734,29369,31960
8499,35,10,7193,12187,17185,22816,28428,31959,35875,39392
4744,45,10,7044,12869,18111,24627,30921,34628,39104,43339
10897,40,10,6924,12201,17385,23106,29173,33158,37594,41673
4213,60,6,4621,8470,11786,15824,20392,23556,26872,29473
4640,40,7,4974,8770,11980,16028,20283,23161,26284,28951
6064,60,10,6671,11847,16840,22730,28723,33323,37427,41233
12915,21,10,7241,11959,15979,21312,26532,30202,33768,36583
426,21,10,6284,12067,18266,24343,30920,35126,39486,43876
8186,21,10,6705,12432,17402,23268,29560,33667,37799,41733
2302,40,8,5062,9046,12294,16825,21573,24965,28299,31013
6678,45,5,3456,6622,9439,12786,17067,20006,22580,24889
13285,35,8,4746,9048,12729,17350,22982,26773,30302,33614
7207,35,8,5324,9515,13533,18539,24032,27561,31263,34520
11504,21,10,6488,10882,16070,21176,26321,29475,32866,35743
12241,21,10,7623,13261,18047,23849,30404,34454,39191,42892
12662,40,9,6026,10896,16180,22741,28427,32208,35885,39699
11762,35,7,5510,9567,12990,17381,21903,25064,28353,31345
680,21,8,5381,9944,14089,19075,24403,27918,31658,34784
1364,21,2,2400,4964,7099,9709,12461,14351,16372,18149
7696,21,10,5613,10682,15141,21646,27217,31662,35371,38524
6136,35,10,5617,10602,15164,21708,27203,31677,35323,38655
12478,45,3,2849,5621,7788,10550,13591,15578,17740,19564
3247,45,2,2542,5185,7402,10216,13177,15156,17111,19061
10478,50,2,2482,5062,7113,9819,12536,14430,16478,18170
5231,35,4,3205,6721,10034,13631,17413,19966,22600,24639
2637,35,9,6227,10890,14904,19857,25173,28578,32222,35558
12476,40,2,2518,5145,7237,9881,12563,14402,16307,17911
8518,40,10,5869,11031,15625,21730,27890,32028,36475,39640
12513,55,5,3459,6630,9030,12201,15481,17610,19909,21764
11919,50,10,6101,10220,13641,18158,22903,26360,29959,32943
13071,21,6,4799,8748,11870,15871,20038,23041,26136,28625
1222,21,8,4795,8981,12703,17559,23076,26645,30794,34119
7948,55,5,4385,7916,10904,14570,18652,21494,24527,26733
6228,55,10,6170,11213,16052,21553,26841,30640,34134,37013
2404,70,9,5577,9967,14054,18808,23515,27233,30441,33323
5952,21,1,2442,4842,6872,9348,11793,13596,15347,17025
3669,35,10,7530,13629,19025,24803,30547,34316,38869,42432
9129,35,9,5161,9427,13032,17482,22712,26090,29533,32363
7968,35,5,4539,8092,11018,14472,18359,21003,23588,25971
13620,45,4,3439,6403,8749,11740,14994,17420,19924,22045
8830,45,8,5627,9533,12505,16535,20595,23320,26332,28684
11878,21,10,6765,11816,16511,22986,29125,33213,37530,41209
13203,40,9,6520,11209,15905,20922,26212,30044,33595,36625
10117,45,6,3769,7106,9931,13776,17865,20876,23592,25812
5789,40,4,3155,6014,8370,11526,14860,17121,19361,21309
12977,21,7,5186,9204,12507,16413,20868,23761,26423,28793
3847,45,10,7007,13092,18598,24390,30524,34608,39145,43083
10217,55,8,6263,10387,13674,17830,22150,25203,28066,30694
379,60,10,6408,10881,14738,19754,24432,27930,31473,34681
13350,50,4,3027,6012,8512,11759,15133,17648,19943,21899
3904,50,10,6680,12092,16705,22175,27698,31548,35221,38930
8542,21,10,6638,11253,15852,21539,27502,31501,35051,38181
1694,40,7,4539,8343,11399,15266,19337,22371,25371,27809
2907,50,10,7049,12676,17586,23680,29935,33728,37908,42056
4778,35,4,3225,6431,9077,12226,15693,18147,20651,22837
11775,21,10,6828,12716,17709,23713,29579,33516,37874,41334
1796,21,10,6315,11234,15700,21425,27104,30829,34588,37502
321,21,10,6341,11169,15291,20649,26080,29962,33875,37023
13094,55,3,2948,5705,7914,10773,13745,15858,18092,20006
10536,55,10,5828,10632,14822,20311,25780,29602,32995,36249
4908,40,10,6517,12090,16844,22807,28682,32112,36354,39669
13401,35,10,6440,11789,16822,23036,29555,33531,37983,41688
6338,45,8,5179,9237,12728,16823,21476,24447,27725,30354
1881,70,7,5465,10052,14257,19223,24561,27938,31734,34554
7584,35,4,3011,5881,8185,11241,14499,16742,18922,20973
11630,45,5,3824,7023,9465,12572,15614,17832,19994,21780
4824,50,10,6749,11748,16168,21502,28033,31803,35929,39502
4939,21,10,6476,11509,16119,22030,27607,31689,35685,39150
6441,50,7,4771,8563,11501,15490,19475,22540,25367,27926
6706,70,5,3734,7257,10557,14140,18131,20859,23594,26045
35,65,10,6083,11164,15822,21946,27686,31577,35692,39269
12700,21,5,4775,8575,11597,15288,19577,22789,25828,28318
11588,55,5,3718,6963,9512,12774,16242,18668,21219,23390
11966,50,2,2365,4931,6982,9515,12173,14079,16044,17774
1941,21,0,2053,4405,6418,8838,11355,13150,15034,16569
5328,40,6,3310,6143,8504,11556,14671,16995,19262,21365
5126,21,2,2396,4854,6830,9300,11770,13485,15409,17174
13504,35,6,3465,6704,9270,12484,16153,18583,21098,23086
7780,21,8,5007,9121,12634,17015,21984,25180,28133,30689
4385,75,9,6730,12018,16930,22640,28556,32522,36739,40248
6255,21,10,6530,10947,14793,20090,25322,28850,32509,35489
8159,21,6,5006,8852,12068,16170,20377,23463,26445,28825
4201,55,8,4783,8962,12657,17509,22608,26333,29739,32732
4984,50,4,2901,5647,7937,10898,13824,16141,18235,20169
12861,40,4,3547,6907,9754,13257,17563,20267,22932,25272
1606,21,6,4447,8013,10895,14549,18411,21043,23763,26231
2123,45,3,3316,6350,8879,12056,15553,18107,20564,22666
3141,21,4,3210,6159,8605,11977,15899,18362,20845,22884
3953,21,6,4508,8138,11021,14768,18951,21898,24558,26940
11182,60,8,5731,10481,14638,19733,25747,29355,32740,35739
11602,45,2,2588,5101,7184,9906,12498,14397,16377,18021
2719,50,5,3323,6508,9201,12808,16951,19764,22492,24994
12286,40,7,4407,8005,10951,14758,18723,21784,24510,26892
3859,40,10,7002,12075,16613,22442,28366,32318,36578,40237
742,21,10,6574,12174,17194,22992,28479,32198,36021,38989
4525,45,4,NA,NA,NA,12212,15485,17493,19927,21858
2983,45,5,3665,6824,9594,13054,16650,19286,22107,24267
4227,21,4,3702,6794,9197,12253,15733,17795,20186,22115
9226,21,5,3278,6479,9029,12370,16104,18603,21181,23605
8500,21,10,7460,12769,18247,24105,29928,33773,38215,42240
7858,40,3,3019,5742,7927,10844,13911,16146,18285,20096
2939,50,3,2969,5734,8052,10838,13794,15901,18063,19840
2721,45,7,4271,7977,11235,15267,19663,22703,25747,28357
12366,21,10,6436,11602,16391,22080,28022,31659,35396,38551
11625,45,3,3303,6128,8418,11462,14411,16456,18601,20606
11769,55,5,3944,7253,9995,13213,16795,19386,21924,24130
7202,40,4,3043,6015,8486,11567,14815,17156,19436,21609
9511,60,7,5154,9194,12867,17263,22050,25425,29121,31980
7568,21,9,5637,10129,13955,18724,24148,27829,31425,34405
1396,45,9,5948,10540,14868,20451,26089,29736,33413,36469
2581,35,7,4995,8860,12104,16275,20363,23404,26253,28712
2338,50,5,3887,7263,10009,13577,17153,19787,22234,24337
3896,65,5,3299,6413,9071,12649,16403,19154,21644,24054
10332,45,7,5489,9144,12114,15631,19410,22466,25202,27568
10094,45,6,4904,8996,12483,16759,21463,24968,27972,30728
7405,40,7,4783,8739,11886,15998,21230,25501,28705,31443
1624,21,6,4659,8566,11674,15561,19859,22770,25736,28226
11895,21,1,2145,4424,6278,8654,11034,12683,14400,15920
248,45,3,2947,5635,7778,10574,13516,15412,17629,19446
8446,40,2,2424,4985,6959,9632,12162,14013,16031,17564
9251,21,6,4215,7875,10929,15300,20452,23592,26584,29183
9771,40,4,3543,6772,9281,12480,15887,18347,20831,22910
13288,40,1,2236,4658,6595,9133,11648,13381,15436,16925
7090,45,7,4504,9023,12882,17935,23258,26756,30245,33313
13456,21,5,4046,7528,10366,13781,17569,20396,23222,25408
1684,21,7,5066,9201,12903,17412,22713,26345,29826,32804
10114,21,1,2350,4758,6767,9179,11870,13643,15553,17243
2853,45,5,4046,7537,10184,13551,17109,19617,22174,24485
3327,21,1,2268,4707,6652,9191,11706,13372,15293,16885
6997,35,3,2994,5763,8142,11010,14057,16111,18343,20058
3898,40,9,4756,8318,11278,15157,20269,23730,26834,29224
5401,60,10,6705,11981,16701,22855,29082,33546,38338,42364
4995,55,7,4850,8648,11825,15503,19684,22636,25660,28089
7358,40,3,2609,5286,7426,10185,13178,15004,17271,19360
3426,40,7,4257,8137,11356,15392,20008,23245,26236,28579
8249,50,3,2869,5871,8380,11665,15142,17625,20067,22050
8601,21,10,6705,11524,15950,22223,27730,31421,35502,38288
3914,40,4,3104,6149,8562,11775,14980,17205,19529,21546
9283,40,4,3331,6347,8766,11872,14963,17142,19261,21092
10082,40,10,7053,12436,17566,23214,28962,33357,37769,41564
4527,35,8,5601,9696,12822,16911,21478,24388,27397,30058
6084,35,8,5671,9941,13418,17822,22440,26089,29566,32248
1748,45,5,4422,7830,10651,14061,17847,20715,23552,25958
5343,40,10,7011,11687,15718,20629,25804,29301,32594,35766
3446,45,8,4830,9075,12595,17071,22022,25384,28755,31478
3558,40,8,5209,9324,12766,16822,21256,24294,27084,29911
10810,40,8,4815,9036,12592,17068,21997,25474,28740,31616
11942,21,10,6280,10336,14001,18711,23875,27295,30512,33358
3515,21,9,6406,11799,16680,22978,28585,32182,36552,39852
6691,40,10,6572,11716,16066,21609,27249,30936,35616,38632
2104,65,6,4551,8370,11313,14885,18932,21814,24532,26906
2877,50,7,4884,8548,11375,15228,19337,22321,25168,27483
594,21,10,7051,12624,17413,22951,29084,32492,36063,39193
9633,45,1,2477,5080,7121,9733,12298,14020,15944,17620
12167,21,9,5457,9827,13276,17734,22478,25763,29055,31873
4560,21,9,5394,9508,12986,17661,22287,25270,28230,30898
3929,50,10,5917,10466,14275,19174,24155,27498,31038,33829
11461,45,8,5586,9962,13773,18416,23299,27016,30452,33426
10062,35,8,5596,10244,14498,19351,24807,28416,31917,35188
147,21,3,4147,7462,10133,13442,16666,19077,21360,23155
177,21,6,4583,8153,11105,14948,18885,21765,24668,26942
7407,21,4,3158,6337,8934,12455,16389,19263,21796,24201
1779,45,6,4449,8373,11585,15893,20583,23970,27239,30218
9234,21,3,2660,5414,7831,10882,14102,16372,18770,20686
10586,45,6,3973,7388,10310,13878,17830,20518,23262,25579
8575,40,4,3782,7090,10113,13867,18356,21352,24141,26655
8842,45,5,3186,6234,8806,12132,15464,17779,20134,22072
7733,40,8,5090,9195,12941,17547,22548,26055,29405,32169
10755,21,5,3940,7275,9883,13044,16866,19408,21911,24028
9036,21,7,4867,8480,11452,15370,19529,22514,25582,27868
9182,45,4,3397,6498,8964,12214,15417,17853,20196,22168
12461,45,7,4944,8962,12684,16655,21209,24733,27753,30359
5617,40,3,2958,5706,8055,10942,13972,15985,17947,19872
11373,21,5,3591,6823,9548,13081,16962,19852,22349,24626
761,65,7,4645,8353,11538,15326,19737,22984,25956,28210
9468,21,9,6425,12003,16424,22294,27627,31059,34702,37822
8090,21,10,7375,13284,18866,24756,30825,35316,39914,43908
8050,55,3,3119,6032,8461,11521,14679,16905,19076,21144
3130,21,5,3780,7000,9459,12595,16315,18807,21455,23749
1992,45,8,5439,9637,13218,17588,22278,25511,28962,31737
10022,45,6,4238,7893,11063,15143,19571,22667,25589,28061
4159,45,4,3252,6212,8727,11920,15174,17483,19723,21615
10076,35,10,6869,11993,16484,22294,28489,32595,36595,40050
12712,35,4,3702,6912,9364,12626,16196,18718,21289,23631
10191,45,6,4709,8645,11890,15995,20647,23753,26608,29136
2934,45,9,6145,10706,14827,19651,24469,27747,31219,34208
7145,65,6,4704,8666,11797,15758,20137,23275,26386,28827
10677,65,5,3616,6776,9321,12471,15859,18442,21058,23085
6518,21,2,2771,5368,7461,10181,12672,14617,16484,18205
8555,50,7,5475,9656,13715,18540,23618,27369,31121,34073
3974,35,2,2862,5779,8135,11082,14075,16152,18466,20331
900,21,3,2822,5578,7850,10865,13958,16094,18407,20222
11229,21,10,6813,12615,17199,23007,28653,32799,36841,40433
8450,40,5,4573,7848,10290,13379,16789,19363,21786,23881
459,40,4,3108,6097,8520,11635,14796,17159,19646,21491
410,45,7,4708,8549,11714,16017,20548,23755,26982,29690
9841,40,7,4971,8864,11880,15665,20127,22946,25917,28518
7969,35,10,6716,11807,16303,21844,27187,30824,34717,38547
5774,40,3,3182,6102,8457,11651,14854,17352,19939,21949
7594,50,4,2899,5863,8369,11761,15564,18227,20653,22713
2245,21,7,4562,8637,12117,17035,22048,25617,28930,31644
6029,21,5,3836,7103,9711,13147,16913,19555,22138,24259
10324,40,9,6103,11241,15781,21276,27293,30964,34853,38418
11393,35,9,5730,10281,14271,19605,25108,28568,32359,35397
8074,45,4,3559,6818,9451,12827,16673,19283,21716,23843
7748,19-20,6,4286,7906,11063,15067,19564,22425,25370,27591
8797,21,5,4780,8615,11658,15297,19506,22507,25537,28080
9516,40,9,5980,10178,13991,18338,23346,26546,29918,32615
1401,21,3,2557,5247,7460,10344,13173,15120,17383,19043
6690,50,6,3939,7536,10375,13959,18025,20675,23408,25861
13316,21,1,2348,4827,6821,9347,12037,13722,15737,17244
6070,21,10,7110,12173,16769,22510,28377,32059,36417,40423
10968,45,5,3827,7076,9704,13136,16794,19391,21947,24175
13106,21,10,7036,12374,17195,22847,28548,32115,36383,40295
1891,35,5,4143,7614,10404,13980,17919,20768,23470,25684
643,21,1,2283,4664,6559,9142,11543,13223,15099,16683
12416,19-20,4,3546,6314,8507,11324,14205,16293,18200,20086
5863,21,6,4470,8193,11169,14884,18743,21468,24275,26519
4653,45,3,4268,7869,11055,15073,19382,22464,25350,27539
14,50,10,7542,13134,18767,24515,30529,34776,39428,42998
1958,70,10,6781,12280,16997,22665,28670,32604,37324,40741
9045,21,8,5247,9800,14158,20144,25942,29993,33718,36669
5536,60,8,5580,9962,14197,19053,24166,27529,31422,34289
11739,50,5,4168,7717,11035,14855,19139,22346,25491,27827
12208,60,7,4712,8501,11727,15789,20152,23167,26230,28787
5645,50,7,4333,8099,11113,15180,20308,23939,27730,30400
9939,45,6,4700,8418,11754,15411,19879,23143,26147,28594
5721,65,7,4637,8427,11235,14907,18838,21685,24626,26928
2555,60,9,5584,10580,15196,20794,26297,30152,33735,36937
8460,21,10,7383,13208,18140,24016,30002,33943,38317,42283
10386,21,7,4875,8905,12214,16559,21242,24694,28037,31224
7315,45,9,5408,9752,13432,18209,23226,26933,30666,33629
855,40,10,5972,10738,14991,20584,26468,30370,34204,37561
7248,40,6,4838,8393,11340,14701,18260,20752,23308,25441
5241,70,5,5459,11235,15813,21800,28475,32557,37284,41098
12623,21,10,6849,11701,16036,21219,27030,30373,34142,37129
